id	biome	feature	material	environment_package	location	seq_counts	rel_seq_count
4440442.4	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	90698	0
4440442.5	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-associated	Adult cystic fibrosis Clinic at the University of California San Diego Medical Center	1123582	12
4440452.7	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	1246832	42
4440453.6	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2125775	223
4440460.5	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2272455	213
4440461.5	human-associated habitat	human-associated habitat	human-associated habitat	human-gut	St. Louis, MO	2471535	637
4440462.5	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2920556	412
4440463.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Washington University, St. Louis, MI	185745	152
4440464.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	host-associated	Washington University, St. Louis, MI	23714	190
4440595.4	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2708319	399
4440610.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2117908	249
4440611.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2517995	227
4440613.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2123485	262
4440614.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2453881	222
4440615.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2777457	936
4440616.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	3667950	348
4440639.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2233470	199
4440640.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2165616	243
4440823.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	3306604	357
4440824.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2410090	141
4440825.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2549322	264
4440826.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	St. Louis, MO	2957556	198
4440939.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	676643	26
4440940.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	37332	11
4440941.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	919340	43
4440942.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	819523	42
4440943.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	846521	38
4440944.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	697807	36
4440945.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	256436	21
4440946.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	518529	17
4440947.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	810575	34
4440948.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	983512	31
4440949.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	542832	62
4440950.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	484123	66
4440951.3	animal-associated habitat	animal-associated habitat	animal-associated habitat	human-gut	unknown	776477	27
4440960.3	sediment	sediment	sediment	unknown	Ocean Drilling Program leg 201, site 1229	310647	0
4440961.3	sediment	sediment	sediment	unknown	Ocean Drilling Program leg 201, site 1229	369248	1
4440963.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	139174	1
4440964.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	190089	2
4440965.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	180816	2
4440966.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	183401	1
4440967.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	215976	0
4440968.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	149902	2
4440969.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	186176	0
4440970.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	182957	1
4440971.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	154866	3
4440972.3	microbial mat	microbial mat	microbial mat	unknown	Exportadora de Sal saltworks, Guerrero Negro, Baja California Sur, Mexico	159902	0
4440973.3	sediment	sediment	sediment	unknown	Ocean Drilling Program leg 201, site 1229	439273	77
